Fragebogenkürzel;Frage;Item;Subskala1;Subskala2;Subskala3;Umkodieren? (x);Wie viele Antwortmöglichkeiten? (2-7);Wie Score Berechenen
BFI24[BFI46];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin gesprächig.];BFI_Extraversion;BFI_Sociability;;;5;Mittelwert
BFI24[BFI47];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Andere sind mir eher gleichgültig, egal.];BFI_Agreeableness;BFI_Compassion;;x;5;Mittelwert
BFI24[BFI48];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen. ;Ich bin eher der chaotische Typ, mache selten sauber.];BFI_Conscientiousness;BFI_Organization;;x;5;Mittelwert
BFI25[BFI49];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen ;Ich werde selten nervös und unsicher.];BFI_NegativeEmotionality;BFI_Anxiety;;x;5;Mittelwert
BFI25[BFI50];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen ;Ich finde Gedichte und Theaterstücke langweilig.];BFI_OpenMindedness;BFI_AestheticSensitivity;;x;5;Mittelwert
BFI25[BFI51];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen ;In einer Gruppe überlasse ich lieber anderen die Entscheidung.];BFI_Extraversion;BFI_Assertiveness;;x;5;Mittelwert
BFI25[BFI52];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen ;Ich bin höflich und zuvorkommend.];BFI_Agreeableness;BFI_Respectfulness;;;5;Mittelwert
BFI25[BFI53];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen ;Ich bleibe an einer Aufgabe dran, bis sie erledigt ist.];BFI_Conscientiousness;BFI_Productiveness;;;5;Mittelwert
BFI25[BFI54];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen ;Ich bin oft deprimiert, niedergeschlagen.];BFI_NegativeEmotionality;BFI_Depression;;;5;Mittelwert
BFI25[BFI55];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen ;Mich interessieren abstrakte Überlegungen wenig.];BFI_OpenMindedness;BFI_IntellectualCuriosity;;x;5;Mittelwert
BFI25[BFI56];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen ;Ich bin begeisterungsfähig und kann andere leicht mitreißen.];BFI_Extraversion;BFI_EnergyLevel;;;5;Mittelwert
BFI25[BFI57];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen ;Ich schenke anderen leicht Vertrauen, glaube an das Gute im Menschen.];BFI_Agreeableness;BFI_Trust;;;5;Mittelwert
BFI25[BFI58];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen ;Manchmal verhalte ich mich verantwortungslos, leichtsinnig.];BFI_Conscientiousness;BFI_Responsibility;;x;5;Mittelwert
BFI25[BFI59];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen ;Ich reagiere schnell gereizt oder genervt.];BFI_NegativeEmotionality;BFI_EmotionalVolatility;;;5;Mittelwert
BFI25[BFI60];Nachstehend finden Sie eine Reihe von Eigenschaften, die auf Sie zutreffen könnten. Würden Sie über sich z. B. sagen, dass Sie gerne Zeit mit anderen Menschen verbringen? Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie zustimmen ;Ich bin originell, entwickle neue Ideen.];BFI_OpenMindedness;BFI_CreativeImagination;;;5;Mittelwert
LE1[LE01];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast. ;Eine neue Liebe finden];LE_Positiv;;;;2;Summe
LE1[LE02];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast. ;Verlobung oder Heirat];LE_Positiv;;;;2;Summe
LE1[LE03];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast. ;Trennung oder schwere Beziehungsprobleme mit Partner];LE_Negativ;;;;2;Summe
LE1[LE04];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast. ;Geburt von Kind/Enkelkind oder nahestehende Nichte/Neffe/Cousin/Cousine];LE_Positiv;;;;2;Summe
LE1[LE05];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast. ;Tod eines Freundes oder Familienangehörigen];LE_Negativ;;;;2;Summe
LE1[LE06];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast. ;Eine positive berufliche Veränderung (neuer Job, Beförderung…)];LE_Positiv;;;;2;Summe
LE1[LE07];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast. ;Kündigung oder Arbeitslosigkeit];LE_Negativ;;;;2;Summe
LE1[LE08];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast. ;Eine positive Finanzielle Veränderung];LE_Positiv;;;;2;Summe
LE1[LE09];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast. ;Ernste finanzielle Probleme];LE_Negativ;;;;2;Summe
LE1[LE10];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast. ;Bildungsabschluss eines Lehrganges, Schule oder Universität];LE_Positiv;;;;2;Summe
LE2[LE11];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast ;Beginn eines erfüllenden Hobbies oder ein neues Talent entdeckt];LE_Positiv;;;;2;Summe
LE2[LE12];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast ;Neue Freundschaft schließen];LE_Positiv;;;;2;Summe
LE2[LE13];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast ;Ernste Beziehungsprobleme zu langjährigen Freund oder Familienangehörigen];LE_Negativ;;;;2;Summe
LE2[LE14];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast ;Ein guter Urlaub];LE_Positiv;;;;2;Summe
LE2[LE15];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast ;Umzug in nettes Haus/Wohnung];LE_Positiv;;;;2;Summe
LE2[LE16];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast ;Einbruch oder Diebstahl, bei dem etwas Bedeutsames verloren ging];LE_Negativ;;;;2;Summe
LE2[LE17];Im Folgenden findest du eine Liste an verschiedenen Erfahrungen, die Menschen oft erleben. Bitte gibt für jede Erfahrung an, ob du sie in den letzten 12 Monaten gemacht hast ;Kontakt mit  Polizei oder Justiz durch ein strafrechtliches Vergehen];LE_Negativ;;;;2;Summe
