"ID","Rated_Person","extraversion1","agreeableness1","conscientiousness1","neuroticism1","openness1","extraversion2","agreeableness2","conscientiousness2","neuroticism2","openness2","attractiveness","sympathy","competence","assertiveness","trustworthyness","familarity","BFI_Extraversion","BFI_Neuroticism","BFI_Conscientiousness","BFI_Agreeableness","BFI_Openness","ExperimenterID","Experimenter_Sex"
"sub-AK04IO21","Experimenter",3,4,1,5,3,4,1,4,2,3,3,5,5,4,5,1,7,7,5,5,6,"WBNB","Male"
"sub-AK06AS07","Participant",2,3,2,3,2,4,2,3,1,3,3,4,4,4,4,1,6,4,5,5,5,"HWCP","Female"
"sub-AK06AS07","Experimenter",1,4,1,4,3,5,3,5,2,3,5,5,5,5,5,1,6,6,6,7,6,"HWCP","Female"
"sub-AK06RG17","Experimenter",3,4,2,5,3,4,2,4,3,3,4,5,4,3,4,1,7,8,6,6,6,"KOJK","Male"
"sub-AK06RG17","Participant",2,4,2,5,4,3,2,5,2,3,3,4,4,3,4,1,5,7,7,6,7,"KOJK","Male"
"sub-AL07NK06","Participant",2,4,2,5,2,4,2,4,1,3,3,4,4,3,4,1,6,6,6,6,5,"HWCS","Female"
"sub-AL07NK06","Experimenter",1,4,3,5,3,4,3,4,2,3,5,5,4,4,5,1,5,7,7,7,6,"HWCS","Female"
"sub-AL08AS02","Experimenter",2,4,2,3,3,5,2,4,3,4,4,4,4,4,4,1,7,6,6,6,7,"GICH","Female"
"sub-AL08AS02","Participant",2,4,1,4,2,5,2,4,1,4,4,4,4,4,5,1,7,5,5,6,6,"GICH","Female"
"sub-AM04EN20","Experimenter",4,5,1,4,3,4,1,5,1,3,4,4,4,3,4,1,8,5,6,6,6,"WBDM","Female"
"sub-AM04EN20","Participant",2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,1,5,6,6,6,6,"WBDM","Female"
"sub-AN03EU29","Experimenter",1,4,3,4,1,5,2,4,2,4,4,5,5,4,5,1,6,6,7,6,5,"HRBL","Male"
"sub-AN03EU29","Participant",1,5,2,2,2,5,1,4,4,4,4,5,2,3,4,1,6,6,6,6,6,"HRBL","Male"
"sub-AN04AD03","Experimenter",1,4,1,4,3,5,1,3,2,3,3,5,5,4,4,1,6,6,4,5,6,"HRBL","Male"
"sub-AN04AD03","Participant",1,4,2,4,3,5,2,4,2,3,4,4,4,5,4,1,6,6,6,6,6,"HRBL","Male"
"sub-AN04ES31","Experimenter",1,4,1,4,2,5,1,5,2,3,4,5,5,5,5,1,6,6,6,5,5,"HRBL","Male"
"sub-AN04ES31","Participant",1,5,1,5,1,5,1,5,2,5,5,5,5,5,5,1,6,7,6,6,6,"HRBL","Male"
"sub-AN05ER02","Experimenter",2,4,1,4,1,4,3,4,2,4,5,5,4,3,5,1,6,6,5,7,5,"GISX","Female"
"sub-AN05ER02","Participant",4,2,3,2,4,4,3,4,3,2,3,4,4,3,3,1,8,5,7,5,6,"GISX","Female"
"sub-AN08AT08","Experimenter",4,4,2,4,3,2,2,4,2,3,4,4,4,4,4,1,6,6,6,6,6,"HWJM","Male"
"sub-AN08AT08","Participant",4,4,1,5,5,1,1,5,1,1,2,4,5,4,5,1,5,6,6,5,6,"HWJM","Male"
"sub-AR06AS06","Experimenter",3,4,1,4,2,4,1,5,3,3,3,4,5,4,5,3,7,7,6,5,5,"DDEL","Male"
"sub-AR06AS06","Participant",2,4,3,5,4,5,1,4,2,2,4,5,4,2,5,3,7,7,7,5,6,"DDEL","Male"
"sub-AR07AN21","Experimenter",4,4,3,5,3,2,1,3,4,3,4,5,5,3,5,1,6,9,6,5,6,"HWJM","Male"
"sub-AR07AN21","Participant",4,5,1,5,1,1,1,5,5,5,4,5,5,1,5,1,5,10,6,6,6,"HWJM","Male"
"sub-AR07IM16","Experimenter",1,5,5,5,1,5,1,5,1,5,5,5,5,5,5,1,6,6,10,6,6,"HRLO","Female"
"sub-AR07IM16","Participant",3,4,4,2,4,4,4,3,3,2,2,4,2,3,2,1,7,5,7,8,6,"HRLO","Female"
"sub-AR07SA26","Experimenter",1,4,1,5,2,4,1,5,1,4,4,5,5,5,5,2,5,6,6,5,6,"HWCP","Female"
"sub-AR07SA26","Participant",2,4,2,4,3,4,2,3,1,3,4,4,4,4,4,3,6,5,5,6,6,"HWCP","Female"
"sub-AR10IO04","Experimenter",2,4,1,3,2,3,3,5,4,4,4,5,5,4,4,1,5,7,6,7,6,"DDAX","Female"
"sub-AR10IO04","Participant",4,2,2,4,2,3,3,4,2,3,2,4,4,4,4,1,7,6,6,5,5,"DDAX","Female"
"sub-AS06AR20","Participant",2,5,3,4,3,4,1,4,2,4,5,5,5,5,5,1,6,6,7,6,7,"BNMR","Male"
"sub-AS06AR20","Experimenter",1,4,2,3,3,5,1,4,1,3,3,5,4,3,5,1,6,4,6,5,6,"BNMR","Male"
"sub-AS06FR30","Experimenter",2,3,1,4,3,4,2,5,1,3,5,5,4,3,4,1,6,5,6,5,6,"OLNX","Male"
"sub-AS06FR30","Participant",2,4,1,2,3,4,2,5,4,4,2,5,5,4,4,1,6,6,6,6,7,"OLNX","Male"
"sub-AT05LI18","Experimenter",2,4,2,4,3,4,2,4,1,3,4,5,5,3,5,1,6,5,6,6,6,"OSDM","Male"
"sub-AT05LI18","Participant",3,2,1,3,2,3,2,4,3,3,4,4,4,4,4,1,6,6,5,4,5,"OSDM","Male"
"sub-AT06ED25","Experimenter",3,3,1,4,3,2,1,4,1,3,1,4,4,3,3,1,5,5,5,4,6,"MBSB","Female"
"sub-AT06ED25","Participant",2,3,1,4,2,4,2,5,2,3,3,4,4,4,4,1,6,6,6,5,5,"MBSB","Female"
"sub-AU05IN13","Experimenter",1,4,1,5,3,5,1,5,1,4,4,5,5,4,5,1,6,6,6,5,7,"OLMK","Female"
"sub-AU05IN13","Participant",1,4,2,5,3,5,2,4,1,4,5,5,4,4,5,1,6,6,6,6,7,"OLMK","Female"
"sub-AU06EL20","Experimenter",2,4,3,5,4,5,3,4,2,2,3,4,4,4,5,1,7,7,7,7,6,"WBDX","Male"
"sub-AU06EL20","Participant",2,4,2,4,2,4,2,4,1,4,4,5,4,4,5,1,6,5,6,6,6,"WBDX","Male"
"sub-AU07ND25","Experimenter",2,3,2,4,3,4,2,4,2,3,3,4,4,3,3,1,6,6,6,5,6,"WBDX","Male"
"sub-AU07ND25","Participant",1,4,3,5,3,4,2,2,1,4,1,4,3,4,4,1,5,6,5,6,7,"WBDX","Male"
"sub-AU09GE22","Experimenter",3,4,1,4,2,4,1,5,4,4,4,5,5,3,5,1,7,8,6,5,6,"HRLO","Female"
"sub-AU09GE22","Participant",2,3,2,4,2,4,2,4,2,4,3,5,4,3,4,1,6,6,6,5,6,"HRLO","Female"
"sub-AY05AN24","Experimenter",1,3,1,2,3,4,1,4,1,3,4,4,4,4,4,1,5,3,5,4,6,"HRLO","Female"
"sub-AY05AN24","Participant",2,4,4,4,4,4,4,3,3,3,3,4,4,3,3,1,6,7,7,8,7,"HRLO","Female"
"sub-AZ05AT02","Experimenter",1,3,1,4,2,5,1,5,1,4,3,5,5,4,5,1,6,5,6,4,6,"WBDX","Male"
"sub-AZ05AT02","Participant",2,4,1,4,2,4,2,5,1,4,4,4,5,5,4,1,6,5,6,6,6,"WBDX","Male"
"sub-BE04NZ10","Experimenter",3,5,2,5,2,4,1,5,2,4,5,5,5,4,5,1,7,7,7,6,6,"DDAX","Female"
"sub-BE04NZ10","Participant",4,4,4,4,5,3,2,3,5,2,2,3,3,3,4,1,7,9,7,6,7,"DDAX","Female"
"sub-BE05ED23","Experimenter",4,5,1,4,3,4,1,5,4,3,4,5,5,2,4,1,8,8,6,6,6,"DDEL","Male"
"sub-BE05ED23","Participant",4,4,1,2,4,2,3,4,2,3,4,4,4,3,4,1,6,4,5,7,7,"DDEL","Male"
"sub-BE06IO12","Experimenter",3,4,2,4,3,4,1,4,2,3,3,4,4,2,4,1,7,6,6,5,6,"WBNB","Male"
"sub-BE06IO12","Participant",3,3,3,2,4,3,3,2,2,2,2,3,4,3,3,1,6,4,5,6,6,"WBNB","Male"
"sub-BIRULD31","Participant",1,4,1,5,3,4,2,4,1,3,4,5,4,4,5,1,5,6,5,6,6,"KOJK","Male"
"sub-BIRULD31","Experimenter",1,5,1,5,3,5,1,5,1,3,3,5,5,5,5,1,6,6,6,6,6,"KOJK","Male"
"sub-BL05RT22","Experimenter",2,4,1,4,1,4,1,4,3,4,4,5,4,3,5,1,6,7,5,5,5,"HWHG","Male"
"sub-BL05RT22","Participant",3,4,4,4,2,5,2,3,2,2,4,4,3,2,5,1,8,6,7,6,4,"HWHG","Male"
"sub-BY08RD24","Participant",5,1,1,3,5,2,5,5,1,1,1,1,5,5,1,1,7,4,6,6,6,"GICH","Female"
"sub-BY08RD24","Experimenter",1,3,1,4,3,5,1,5,4,3,3,5,5,3,4,1,6,8,6,4,6,"GICH","Female"
"sub-CH04ER19","Participant",2,4,1,5,3,4,2,5,1,3,3,4,5,4,5,3,6,6,6,6,6,"OSJZ","Female"
"sub-CH04ER19","Experimenter",2,4,1,4,2,5,2,5,2,3,4,4,4,4,4,3,7,6,6,6,5,"OSJZ","Female"
"sub-CH04OB30","Participant",4,4,5,4,3,2,1,2,3,3,1,2,2,4,2,1,6,7,7,5,6,"OSJZ","Female"
"sub-CH04OB30","Experimenter",4,3,1,5,3,4,1,5,1,3,5,5,5,3,4,1,8,6,6,4,6,"OSJZ","Female"
"sub-CH05AN22","Experimenter",1,4,1,5,3,5,1,5,1,5,5,5,5,5,5,1,6,6,6,5,8,"HRLO","Female"
"sub-CH05AN22","Participant",2,4,4,3,4,4,4,3,2,2,2,3,2,3,3,1,6,5,7,8,6,"HRLO","Female"
"sub-CH05EL08","Participant",4,2,2,5,3,3,2,4,2,2,3,4,4,4,3,1,7,7,6,4,5,"MBLL","Male"
"sub-CH05EL08","Experimenter",2,3,1,4,3,4,1,5,2,3,3,5,5,3,5,1,6,6,6,4,6,"MBLL","Male"
"sub-CH05ER25","Participant",2,3,2,4,4,3,2,4,2,2,4,4,4,4,3,1,5,6,6,5,6,"MBLL","Male"
"sub-CH05ER25","Experimenter",3,2,2,2,4,1,3,4,4,4,1,4,4,1,4,1,4,6,6,5,8,"MBLL","Male"
"sub-CH05NK28","Participant",3,2,5,5,4,3,4,1,2,3,2,2,3,2,3,1,6,7,6,6,7,"DDEX","Female"
"sub-CH05NK28","Experimenter",2,4,1,4,2,4,2,5,2,3,4,4,5,4,5,1,6,6,6,6,5,"DDEX","Female"
"sub-CH06IM14","Experimenter",1,4,1,5,3,5,1,5,1,3,4,5,5,5,5,1,6,6,6,5,6,"OSNB","Male"
"sub-CH06IM14","Participant",4,4,2,4,3,2,2,4,3,3,3,4,3,2,4,1,6,7,6,6,6,"OSNB","Male"
"sub-CH06IN24","Participant",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,6,6,6,6,6,"WBDM","Female"
"sub-CH06IN24","Experimenter",2,4,2,4,3,4,1,2,3,2,4,4,3,3,4,2,6,7,4,5,5,"WBDM","Female"
"sub-CH06LI22","Participant",3,4,2,5,1,4,2,5,2,4,5,5,5,5,5,1,7,7,7,6,5,"BNMR","Male"
"sub-CH06LI22","Experimenter",2,3,1,3,1,4,1,4,1,3,4,5,4,3,4,1,6,4,5,4,4,"BNMR","Male"
"sub-CH06ND30","Participant",3,2,2,2,2,4,2,4,4,3,4,5,4,4,4,1,7,6,6,4,5,"OSDM","Male"
"sub-CH06ND30","Experimenter",2,3,2,3,3,2,1,5,4,3,4,4,5,4,4,1,4,7,7,4,6,"OSDM","Male"
"sub-CH06NK10","Experimenter",1,4,1,3,3,4,2,4,1,3,4,5,5,4,5,1,5,4,5,6,6,"HWCP","Female"
"sub-CH06NK10","Participant",3,4,1,4,3,4,1,4,1,4,4,4,4,2,4,2,7,5,5,5,7,"HWCP","Female"
"sub-CH06NK12","Participant",2,2,2,4,4,2,3,4,2,2,2,2,4,4,2,1,4,6,6,5,6,"OLNX","Male"
"sub-CH06NK12","Experimenter",3,5,2,5,3,4,3,4,2,3,3,4,4,3,3,1,7,7,6,8,6,"OLNX","Male"
"sub-CH06RT03","Experimenter",1,5,1,5,4,5,1,5,1,4,4,5,5,5,5,1,6,6,6,6,8,"DDEL","Male"
"sub-CH06RT03","Participant",2,5,1,2,4,2,4,4,5,3,3,5,3,3,4,1,4,7,5,9,7,"DDEL","Male"
"sub-CH06UT07","Experimenter",4,3,2,4,5,2,2,3,4,2,2,4,4,3,4,1,6,8,5,5,7,"MBLL","Male"
"sub-CH06UT07","Participant",5,1,2,2,4,2,4,4,4,3,3,2,3,3,2,1,7,6,6,5,7,"MBLL","Male"
"sub-CH07AD15","Experimenter",1,4,2,3,3,4,3,4,3,4,4,4,5,4,5,1,5,6,6,7,7,"OSJZ","Female"
"sub-CH07AD15","Participant",4,4,2,3,3,2,1,5,4,3,4,5,4,3,4,1,6,7,7,5,6,"OSJZ","Female"
"sub-CH07DO06","Experimenter",2,4,1,5,3,4,2,5,2,3,4,5,5,4,5,1,6,7,6,6,6,"HRLO","Female"
"sub-CH07DO06","Participant",2,4,2,4,3,4,2,4,2,3,4,4,4,4,4,1,6,6,6,6,6,"HRLO","Female"
"sub-CH07IM11","Experimenter",3,4,2,4,2,4,2,5,3,3,3,5,4,4,5,1,7,7,7,6,5,"DDEL","Male"
"sub-CH07IM11","Participant",2,2,2,4,4,2,5,4,2,3,3,4,5,2,4,1,4,6,6,7,7,"DDEL","Male"
"sub-CH07LF13","Experimenter",2,4,1,4,3,4,1,5,2,3,4,5,5,4,4,1,6,6,6,5,6,"OSJZ","Female"
"sub-CH07LF13","Participant",4,2,5,4,3,2,4,1,2,3,2,2,1,2,2,1,6,6,6,6,6,"OSJZ","Female"
"sub-CH07LF18","Experimenter",3,4,1,5,3,5,1,5,2,4,3,5,5,4,5,3,8,7,6,5,7,"GISY","Female"
"sub-CH07LF18","Participant",2,3,3,4,3,4,2,3,2,3,4,4,4,4,4,3,6,6,6,5,6,"GISY","Female"
"sub-CH07NK17","Experimenter",1,5,1,5,2,5,1,5,2,4,4,5,5,5,5,1,6,7,6,6,6,"HRLO","Female"
"sub-CH07NK17","Participant",5,4,1,3,3,2,2,4,4,4,3,4,4,2,3,1,7,7,5,6,7,"HRLO","Female"
"sub-CH07RK18","Experimenter",4,3,3,4,4,4,2,4,4,2,2,4,3,2,4,1,8,8,7,5,6,"OSDM","Male"
"sub-CH07RK18","Participant",4,3,2,3,3,2,2,4,3,3,4,3,4,4,3,1,6,6,6,5,6,"OSDM","Male"
"sub-CH07US17","Experimenter",2,5,1,5,3,4,1,5,1,3,3,5,5,5,5,1,6,6,6,6,6,"DDEX","Female"
"sub-CH07US17","Participant",1,4,2,2,2,5,1,3,4,5,4,4,4,2,5,1,6,6,5,5,7,"DDEX","Female"
"sub-CH08LO21","Experimenter",4,4,3,5,3,4,3,4,2,4,3,4,4,4,4,1,8,7,7,7,7,"HWJM","Male"
"sub-CH08LO21","Participant",4,3,3,4,2,2,2,3,4,2,1,3,3,2,3,1,6,8,6,5,4,"HWJM","Male"
"sub-CH09AS13","Experimenter",1,5,1,4,1,4,2,4,1,4,4,4,4,4,5,3,5,5,5,7,5,"WBBL","Female"
"sub-CH09AS13","Participant",3,4,2,4,2,4,2,4,2,4,4,4,4,3,4,3,7,6,6,6,6,"WBBL","Female"
"sub-CH09EN08","Participant",2,4,2,2,2,4,2,5,4,3,4,4,4,4,4,1,6,6,7,6,5,"BNCF","Female"
"sub-CH09EN08","Experimenter",2,4,2,3,3,4,3,4,2,3,4,4,4,3,4,1,6,5,6,7,6,"BNCF","Female"
"sub-CH09WE03","Experimenter",3,4,1,5,2,3,1,4,3,4,3,4,5,4,5,1,6,8,5,5,6,"DDEX","Female"
"sub-CH09WE03","Participant",2,3,1,4,2,3,2,4,1,3,4,4,4,3,4,1,5,5,5,5,5,"DDEX","Female"
"sub-CH10ER14","Experimenter",2,4,1,4,4,4,1,5,2,3,4,5,4,5,5,1,6,6,6,5,7,"GICH","Female"
"sub-CH10ER14","Participant",3,2,1,4,2,5,4,5,2,4,5,5,5,5,5,1,8,6,6,6,6,"GICH","Female"
"sub-CH10NG24","Experimenter",2,4,1,5,3,4,2,4,1,4,4,5,4,4,4,1,6,6,5,6,7,"GICH","Female"
"sub-CH10NG24","Participant",4,1,1,5,4,4,4,5,1,2,3,4,5,5,5,1,8,6,6,5,6,"GICH","Female"
"sub-CK04NS18","Experimenter",2,5,1,4,2,5,1,5,2,4,5,5,5,4,5,3,7,6,6,6,6,"WBDX","Male"
"sub-CK04NS18","Participant",1,5,1,2,2,5,1,5,2,4,5,5,4,3,5,4,6,4,6,6,6,"WBDX","Male"
"sub-CK05EN08","Experimenter",3,3,1,4,3,4,1,4,1,3,4,5,5,3,5,1,7,5,5,4,6,"OLRX","Male"
"sub-CK05EN08","Participant",3,4,2,5,2,4,1,4,2,4,3,4,4,4,5,1,7,7,6,5,6,"OLRX","Male"
"sub-CK05EN28","Experimenter",2,3,1,5,3,4,2,5,2,3,5,5,5,5,5,1,6,7,6,5,6,"OLMK","Female"
"sub-CK05EN28","Participant",2,3,2,2,4,4,4,4,4,2,3,4,4,4,4,1,6,6,6,7,6,"OLMK","Female"
"sub-CK05ER27","Experimenter",1,4,3,3,3,4,2,5,1,2,5,5,5,4,5,1,5,4,8,6,5,"DDAX","Female"
"sub-CK05ER27","Participant",4,3,3,4,2,2,3,4,3,3,2,4,3,3,4,1,6,7,7,6,5,"DDAX","Female"
"sub-CK05RD15","Experimenter",2,4,1,5,3,4,2,5,1,3,5,5,5,3,5,1,6,6,6,6,6,"GICH","Female"
"sub-CK05RD15","Experimenter",2,4,1,5,3,4,2,5,1,3,5,5,5,3,5,1,6,6,6,6,6,"GILX","Male"
"sub-CK05RD15","Participant",5,2,4,4,1,1,5,4,4,2,1,2,4,4,2,1,6,8,8,7,3,"GICH","Female"
"sub-CK05RD15","Participant",5,2,4,4,1,1,5,4,4,2,1,2,4,4,2,1,6,8,8,7,3,"GILX","Male"
"sub-CK06ED08","Experimenter",1,4,3,5,1,5,1,4,1,5,4,5,4,3,5,1,6,6,7,5,6,"WBNB","Male"
"sub-CK06ED08","Participant",4,3,2,3,3,2,2,3,3,2,2,4,3,3,4,1,6,6,5,5,5,"WBNB","Male"
"sub-CK06IN16","Experimenter",2,4,2,4,3,4,2,4,2,3,4,4,4,4,4,1,6,6,6,6,6,"OLPG","Male"
"sub-CK06IN16","Participant",3,3,1,4,2,4,2,5,2,3,4,5,5,5,5,1,7,6,6,5,5,"OLPG","Male"
"sub-CK06ST11","Experimenter",3,3,1,4,2,4,2,4,2,3,5,5,4,3,4,1,7,6,5,5,5,"KOTK","Male"
"sub-CK06ST11","Participant",2,4,4,4,2,3,2,2,2,3,4,4,3,2,3,1,5,6,6,6,5,"KOTK","Male"
"sub-CK06US15","Experimenter",4,4,1,5,3,3,1,5,1,2,4,5,5,2,5,1,7,6,6,5,5,"BNLT","Female"
"sub-CK06US15","Participant",4,4,2,4,3,2,3,4,4,4,4,3,4,2,4,1,6,8,6,7,7,"BNLT","Female"
"sub-CK07ER13","Participant",2,4,1,4,3,4,3,4,2,3,3,4,4,4,4,1,6,6,5,7,6,"HRBL","Male"
"sub-CK07ER13","Experimenter",4,4,1,4,3,2,2,5,2,3,3,4,5,4,5,1,6,6,6,6,6,"HRBL","Male"
"sub-CK07NK21","Experimenter",3,3,1,3,2,2,1,4,4,4,4,5,4,2,4,1,5,7,5,4,6,"OSDM","Male"
"sub-CK07NK21","Participant",2,3,2,2,2,4,1,4,3,3,4,4,4,4,4,1,6,5,6,4,5,"OSDM","Male"
"sub-CZ05ND22","Participant",2,5,2,5,3,4,1,5,1,4,5,5,5,5,5,1,6,6,7,6,7,"OLMK","Female"
"sub-CZ05ND22","Experimenter",1,4,1,5,3,4,1,4,1,3,3,5,5,5,5,1,5,6,5,5,6,"OLMK","Female"
"sub-DA06AN05","Participant",5,3,2,1,3,1,1,4,5,3,2,3,3,2,3,1,6,6,6,4,6,"OSDM","Male"
"sub-DA06AN05","Experimenter",3,3,4,4,3,3,3,4,3,4,4,4,4,3,4,1,6,7,8,6,7,"OSDM","Male"
"sub-DA08AN22","Participant",4,2,2,4,2,4,2,4,2,4,4,4,4,3,4,1,8,6,6,4,6,"HRLO","Female"
"sub-DA08AN22","Experimenter",2,4,1,4,3,4,1,5,1,4,4,4,5,5,5,1,6,5,6,5,7,"HRLO","Female"
"sub-DADARE11","Experimenter",2,3,2,3,3,4,3,4,3,3,4,4,4,3,4,1,6,6,6,6,6,"DDEX","Female"
"sub-DADARE11","Participant",1,3,3,1,2,3,4,4,2,2,2,3,4,4,2,1,4,3,7,7,4,"DDEX","Female"
"sub-DE04LD04","Participant",4,2,2,5,4,3,5,4,1,3,4,4,4,3,4,1,7,6,6,7,7,"DDEL","Male"
"sub-DE04LD04","Experimenter",4,3,2,4,3,3,2,4,3,3,3,4,4,3,4,1,7,7,6,5,6,"DDEL","Male"
"sub-DE05LI03","Participant",2,3,3,5,3,4,2,5,1,3,4,5,5,4,4,1,6,6,8,5,6,"BNJG","Female"
"sub-DE05LI03","Experimenter",2,4,2,5,3,5,1,4,2,4,4,4,5,4,5,1,7,7,6,5,7,"BNJG","Female"
"sub-DE06EM24","Participant",1,5,3,4,2,5,1,4,1,3,2,5,5,3,5,1,6,5,7,6,5,"KOTK","Male"
"sub-DE06EM24","Experimenter",1,4,1,5,2,5,2,5,1,4,5,5,5,5,5,1,6,6,6,6,6,"KOTK","Male"
"sub-DE09NS24","Experimenter",5,2,2,4,4,2,2,5,2,3,3,4,5,4,3,1,7,6,7,4,7,"WBDM","Female"
"sub-DE09NS24","Participant",3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,1,6,6,6,6,6,"WBDM","Female"
"sub-DI05ID08","Participant",1,5,1,5,2,5,1,5,1,4,4,5,5,5,5,1,6,6,6,6,6,"HRBL","Male"
"sub-DI05ID08","Experimenter",1,3,1,5,1,4,2,5,1,4,3,5,5,4,5,1,5,6,6,5,5,"HRBL","Male"
"sub-DICLRA12","Participant",4,2,3,2,2,2,2,3,4,3,3,4,3,2,4,1,6,6,6,4,5,"BNCF","Female"
"sub-DICLRA12","Experimenter",3,4,2,5,3,5,2,5,2,4,3,5,4,4,5,1,8,7,7,6,7,"BNCF","Female"
"sub-DS08NK08","Participant",2,3,4,4,3,3,2,3,2,3,2,3,3,3,3,1,5,6,7,5,6,"OLPG","Male"
"sub-DS08NK08","Experimenter",1,5,1,5,2,5,3,5,1,5,3,5,5,3,5,1,6,6,6,8,7,"OLPG","Male"
"sub-DT04NS20","Experimenter",1,4,2,5,1,5,3,5,1,5,4,5,5,4,5,1,6,6,7,7,6,"DDAX","Female"
"sub-DT04NS20","Participant",1,4,1,4,2,5,2,4,1,4,5,5,5,4,5,1,6,5,5,6,6,"DDAX","Female"
"sub-DT05AH09","Participant",1,5,1,1,1,5,1,5,1,5,5,5,5,5,5,1,6,2,6,6,6,"GICH","Female"
"sub-DT05AH09","Experimenter",2,4,2,4,2,4,3,4,2,3,4,4,4,4,4,1,6,6,6,7,5,"GICH","Female"
"sub-DT05EN16","Participant",1,4,1,4,4,5,2,4,1,3,4,5,4,5,5,1,6,5,5,6,7,"OLMK","Female"
"sub-DT05EN16","Experimenter",2,4,1,5,3,4,1,5,1,3,4,5,5,3,4,1,6,6,6,5,6,"OLMK","Female"
"sub-DT05ER18","Participant",1,4,2,4,2,5,1,4,1,3,4,5,5,5,5,1,6,5,6,5,5,"OLPG","Male"
"sub-DT05ER18","Experimenter",2,4,2,5,3,4,1,5,1,3,4,5,5,4,4,1,6,6,7,5,6,"OLPG","Male"
"sub-DT05EV26","Experimenter",1,4,1,5,3,5,1,5,1,4,4,5,5,4,5,1,6,6,6,5,7,"WBNB","Male"
"sub-DT05EV26","Participant",2,4,2,4,2,4,2,4,2,3,3,4,4,4,4,1,6,6,6,6,5,"WBNB","Male"
"sub-DT06AI20","Experimenter",4,4,2,4,3,4,1,5,2,3,4,4,4,4,4,1,8,6,7,5,6,"DDEL","Male"
"sub-DT06AI20","Participant",2,2,3,5,4,4,2,3,1,2,4,4,4,3,4,1,6,6,6,4,6,"DDEL","Male"
"sub-DT06ER20","Participant",5,2,4,5,4,2,3,3,4,2,1,4,3,2,3,1,7,9,7,5,6,"DDEL","Male"
"sub-DT06ER20","Experimenter",2,4,1,4,2,4,1,5,1,3,4,5,5,4,5,1,6,5,6,5,5,"DDEL","Male"
