Trial,Congruency,ACC,RT,Subject,Lab,Experimenter,N2_FCZ,N2_CZ,P3_PZ,P3_ FZ,P3_ CZ,FMT_FCZ,FMT_CZ
28,1,1,0.21538,sub-AA06WI11,Hamburg_Riesel,HRBL,5.2333,43.8123,40.8988,83.3329,29.6998,7.7431,5.4082
29,1,1,0.2376,sub-AA06WI11,Hamburg_Riesel,HRBL,3.6963,-17.8172,17.6562,29.5647,-49.3009,-3.4659,2.0714
30,1,1,0.28779,sub-AA06WI11,Hamburg_Riesel,HRBL,-32.5685,25.5223,49.6677,-32.4586,12.2092,9.0261,-4.8091
31,1,1,0.26691,sub-AA06WI11,Hamburg_Riesel,HRBL,55.4499,5.3283,-37.7893,-3.9804,35.5946,3.2675,-0.8729
32,1,1,0.29778,sub-AA06WI11,Hamburg_Riesel,HRBL,17.1535,-30.7052,-17.4757,58.552,6.471,0.30922,4.3951
33,0.33,1,0.23405,sub-AA06WI11,Hamburg_Riesel,HRBL,38.7406,-13.9256,59.7671,-8.3935,24.289,6.0407,-2.502
35,0.66,1,0.23706,sub-AA06WI11,Hamburg_Riesel,HRBL,1.6899,9.0499,30.8041,-5.9343,-21.3802,-0.14281,-0.38089
36,1,1,0.17251,sub-AA06WI11,Hamburg_Riesel,HRBL,0.97246,-23.6816,-43.422,-79.869,89.5808,-0.015315,6.3081
37,1,1,0.2578,sub-AA06WI11,Hamburg_Riesel,HRBL,66.1946,11.321,-20.5391,84.9997,54.0777,0.9992,-0.23277
38,1,1,0.22786,sub-AA06WI11,Hamburg_Riesel,HRBL,6.8921,-14.6755,-12.2708,-35.1036,-6.1696,-4.5015,-3.8136
39,0.33,1,0.25518,sub-AA06WI11,Hamburg_Riesel,HRBL,8.9068,-6.1821,73.6722,-99.4555,87.7038,-0.34236,-6.7929
41,0,1,0.25377,sub-AA06WI11,Hamburg_Riesel,HRBL,-11.1892,5.5835,-54.5857,9.4867,-3.9806,-0.40651,5.3761
43,1,1,0.29301,sub-AA06WI11,Hamburg_Riesel,HRBL,-13.8131,5.5276,18.4613,95.5153,-5.6691,-12.052,0.21271
44,1,1,0.27878,sub-AA06WI11,Hamburg_Riesel,HRBL,-42.0013,52.7286,16.4995,58.0328,50.1247,7.8745,7.5178
45,1,1,0.25322,sub-AA06WI11,Hamburg_Riesel,HRBL,-1.7203,5.1997,19.5659,-26.3562,3.1686,15.1231,3.8131
46,1,1,0.27608,sub-AA06WI11,Hamburg_Riesel,HRBL,44.1953,27.9448,-10.3255,-16.5435,-32.4999,5.4902,-4.1257
47,1,1,0.16583,sub-AA06WI11,Hamburg_Riesel,HRBL,15.4583,-4.4902,-28.214,6.5853,-11.7558,4.0933,-0.90907
50,1,1,0.31164,sub-AA06WI11,Hamburg_Riesel,HRBL,20.9874,26.4657,32.6667,-12.5083,7.6749,6.6658,-0.45038
51,1,1,0.16584,sub-AA06WI11,Hamburg_Riesel,HRBL,1.0512,47.5274,8.8413,16.842,-8.0462,-2.7792,-1.5992
52,0.66,1,0.24694,sub-AA06WI11,Hamburg_Riesel,HRBL,39.8995,-67.3073,23.8293,-83.0069,50.405,3.0656,4.3774
53,1,1,0.297,sub-AA06WI11,Hamburg_Riesel,HRBL,7.3564,-46.765,30.342,56.0714,14.752,2.8972,-4.1458
54,0.33,1,0.26114,sub-AA06WI11,Hamburg_Riesel,HRBL,15.6229,34.5838,-18.6325,-1.7365,31.1195,-5.9208,-0.48476
56,0.33,1,0.34883,sub-AA06WI11,Hamburg_Riesel,HRBL,-35.7286,-41.6166,98.1292,-7.142,71.6954,-1.2349,-2.9628
57,0.66,1,0.2865,sub-AA06WI11,Hamburg_Riesel,HRBL,-1.3918,-6.4279,-48.9304,-28.8097,-29.534,4.4329,1.8517
58,1,1,0.30491,sub-AA06WI11,Hamburg_Riesel,HRBL,28.4292,52.7015,48.9295,1.6667,6.6419,7.8116,6.7039
59,0.66,1,0.30062,sub-AA06WI11,Hamburg_Riesel,HRBL,-19.4663,-33.3375,-84.2167,-40.5442,-56.0826,-2.3119,-1.6884
60,1,1,0.21867,sub-AA06WI11,Hamburg_Riesel,HRBL,52.6177,1.8815,-7.2382,-19.2178,13.7613,4.8864,-0.44596
61,0.33,1,0.26047,sub-AA06WI11,Hamburg_Riesel,HRBL,0.68777,35.6403,40.3708,17.289,7.8683,3.9662,-5.5039
63,0,1,0.34906,sub-AA06WI11,Hamburg_Riesel,HRBL,20.9303,-11.375,19.1686,71.5703,-4.7128,8.2335,-9.5339
64,1,1,0.23946,sub-AA06WI11,Hamburg_Riesel,HRBL,-9.3966,5.2155,3.9117,-14.7545,141.8589,13.52,2.0012
67,1,1,0.33738,sub-AA06WI11,Hamburg_Riesel,HRBL,-16.585,-53.1455,11.7553,-54.647,-20.3905,11.5871,-2.2042
68,0.66,1,0.23616,sub-AA06WI11,Hamburg_Riesel,HRBL,85.2445,95.0944,67.7845,-57.9876,44.9477,7.7079,6.7279
70,0.66,1,0.42725,sub-AA06WI11,Hamburg_Riesel,HRBL,0.52041,13.8376,-63.3424,-55.3644,78.2194,11.6376,-4.1741
71,0.66,1,0.36579,sub-AA06WI11,Hamburg_Riesel,HRBL,26.9697,-25.9343,6.0695,9.4858,6.2191,-7.5165,-7.702
75,1,1,0.38161,sub-AA06WI11,Hamburg_Riesel,HRBL,15.2081,31.929,25.0086,-15.7337,22.3081,1.6914,-1.5031
77,1,1,0.30007,sub-AA06WI11,Hamburg_Riesel,HRBL,-28.3837,-20.1757,-44.6036,14.1706,72.125,-0.2015,-2.1035
78,0.66,1,0.2647,sub-AA06WI11,Hamburg_Riesel,HRBL,21.6135,10.1244,38.0434,68.5989,-62.6162,0.5171,1.243
79,0.33,1,0.22518,sub-AA06WI11,Hamburg_Riesel,HRBL,-33.7438,52.3298,4.0416,4.2098,46.6423,1.4891,11.576
80,1,1,0.18091,sub-AA06WI11,Hamburg_Riesel,HRBL,10.3838,28.544,80.5864,2.1651,30.9281,-2.7238,1.5542
82,1,1,0.24606,sub-AA06WI11,Hamburg_Riesel,HRBL,17.6517,59.6951,2.3193,29.8769,63.7261,-0.12289,0.61256
83,0,1,0.17584,sub-AA06WI11,Hamburg_Riesel,HRBL,39.7585,44.196,-89.809,61.8814,18.6054,-1.4218,2.4828
85,1,1,0.40023,sub-AA06WI11,Hamburg_Riesel,HRBL,17.9604,-36.6369,48.6339,-114.0337,15.4529,11.6875,-1.0066
86,1,1,0.2933,sub-AA06WI11,Hamburg_Riesel,HRBL,-44.0457,-56.1777,18.8272,27.4413,8.6351,-2.238,-0.55268
87,1,1,0.28008,sub-AA06WI11,Hamburg_Riesel,HRBL,25.3549,2.8176,0.38216,3.2436,37.3811,2.5975,2.5925
89,1,1,0.32358,sub-AA06WI11,Hamburg_Riesel,HRBL,-15.8486,-77.405,85.3073,-34.0354,77.3535,-0.18623,-5.9647
90,0.66,1,0.26566,sub-AA06WI11,Hamburg_Riesel,HRBL,-20.8297,-25.6384,10.4625,-2.2983,-30.8871,5.9685,2.772
94,1,1,0.30994,sub-AA06WI11,Hamburg_Riesel,HRBL,-46.5626,-44.9799,19.1463,-46.2554,65.4788,-5.3802,-5.7958
96,0,1,0.55009,sub-AA06WI11,Hamburg_Riesel,HRBL,-86.2057,-1.472,-37.4383,54.3637,15.8806,-1.6311,3.1615
97,0.66,1,0.38385,sub-AA06WI11,Hamburg_Riesel,HRBL,-2.0945,57.6028,37.9323,-55.9915,37.3667,5.1203,-5.2224
99,1,1,0.39541,sub-AA06WI11,Hamburg_Riesel,HRBL,37.3348,-25.5629,79.6006,73.851,56.0039,7.5413,0.77304
100,0.66,1,0.30015,sub-AA06WI11,Hamburg_Riesel,HRBL,46.5871,26.1505,-112.2387,-40.9203,83.7788,-1.9306,-1.0296
101,0.33,1,0.23707,sub-AA06WI11,Hamburg_Riesel,HRBL,76.5625,-74.641,54.7744,-34.1258,38.0217,-4.6079,0.76431
102,1,1,0.27915,sub-AA06WI11,Hamburg_Riesel,HRBL,46.3259,-2.3813,55.1033,-49.4349,-31.4279,-12.7422,4.0515
104,0.33,1,0.30131,sub-AA06WI11,Hamburg_Riesel,HRBL,52.4737,10.3031,-83.1604,77.4414,20.6807,-6.4595,1.0044
105,0.66,1,0.30784,sub-AA06WI11,Hamburg_Riesel,HRBL,-12.7472,32.5065,18.5311,91.5479,-54.7667,-0.83438,0.26225
107,1,1,0.29982,sub-AA06WI11,Hamburg_Riesel,HRBL,60.8226,4.775,75.2129,-74.0269,61.9762,-6.115,3.5042
108,1,1,0.34781,sub-AA06WI11,Hamburg_Riesel,HRBL,-25.3534,18.2773,45.3624,26.6726,26.3022,-2.9166,0.37889
109,0.33,1,0.37003,sub-AA06WI11,Hamburg_Riesel,HRBL,-64.8969,91.5348,-17.2003,-36.195,-3.6227,6.119,10.1227
110,0.66,1,0.34281,sub-AA06WI11,Hamburg_Riesel,HRBL,-41.9535,20.9247,-57.1427,44.8358,100.4155,-2.0512,2.7099
111,1,1,0.32636,sub-AA06WI11,Hamburg_Riesel,HRBL,21.9817,-21.4793,85.7219,-25.1731,-12.1759,0.77669,0.058299
112,1,1,0.23753,sub-AA06WI11,Hamburg_Riesel,HRBL,31.6657,33.4289,12.5031,49.1641,-43.1054,6.8464,3.4254
113,1,1,0.30382,sub-AA06WI11,Hamburg_Riesel,HRBL,44.4247,-30.459,-41.7549,32.0457,60.4607,0.0085574,-7.4721
114,1,1,0.36721,sub-AA06WI11,Hamburg_Riesel,HRBL,21.4113,-77.0656,27.366,-28.5922,94.1955,-7.6384,2.2047
116,1,1,0.30849,sub-AA06WI11,Hamburg_Riesel,HRBL,31.4989,-9.419,45.3879,-11.4253,39.715,-3.8033,-0.35659
117,1,1,0.26945,sub-AA06WI11,Hamburg_Riesel,HRBL,-18.9233,14.7074,44.0674,-60.1953,-28.1308,2.3244,-5.379
120,0.66,1,0.31834,sub-AA06WI11,Hamburg_Riesel,HRBL,31.303,-35.304,-73.9612,37.0955,75.2406,5.4808,4.9683
121,1,1,0.21681,sub-AA06WI11,Hamburg_Riesel,HRBL,58.0757,53.5693,58.1337,0.91851,10.5854,-9.641,0.9768
122,0,1,0.34453,sub-AA06WI11,Hamburg_Riesel,HRBL,-10.1255,78.9097,-20.3234,49.7644,52.0351,3.21,-1.5517
123,1,1,0.36111,sub-AA06WI11,Hamburg_Riesel,HRBL,11.3667,106.583,-57.5989,-0.70159,3.0829,4.2876,-0.32564
124,0,1,0.37365,sub-AA06WI11,Hamburg_Riesel,HRBL,-40.3987,56.6017,-3.0869,20.0725,-41.2094,-2.3229,6.5161
126,0.33,1,0.49108,sub-AA06WI11,Hamburg_Riesel,HRBL,22.6785,30.1236,46.0344,46.5139,0.125,-0.69139,-5.4048
128,1,1,0.36516,sub-AA06WI11,Hamburg_Riesel,HRBL,33.6041,-66.8822,-19.0861,-13.6938,18.933,-3.6928,-3.7901
129,0.33,1,0.24928,sub-AA06WI11,Hamburg_Riesel,HRBL,-34.3922,-36.21,40.8648,-20.5461,-46.8619,-5.3035,-1.3347
131,0,1,0.44105,sub-AA06WI11,Hamburg_Riesel,HRBL,28.4053,9.3902,-0.49667,-26.7611,23.0741,3.3632,2.9905
132,0.33,1,0.37971,sub-AA06WI11,Hamburg_Riesel,HRBL,28.0358,3.5795,38.5777,68.7983,-44.2709,-0.068388,0.53136
134,1,1,0.33465,sub-AA06WI11,Hamburg_Riesel,HRBL,58.9099,10.8901,-37.8411,24.4693,-7.6449,-7.9933,-9.5362
135,0.66,1,0.29089,sub-AA06WI11,Hamburg_Riesel,HRBL,19.1488,7.1581,96.5262,-53.7453,50.8678,-3.6843,0.98928
136,1,1,0.34514,sub-AA06WI11,Hamburg_Riesel,HRBL,-14.9362,-13.0111,140.0905,70.0457,50.8142,-3.5296,11.4729
137,1,1,0.34408,sub-AA06WI11,Hamburg_Riesel,HRBL,-35.5003,-60.8855,-9.8248,-40.1815,-8.0665,1.6806,1.2034
138,1,1,0.26069,sub-AA06WI11,Hamburg_Riesel,HRBL,-55.6224,8.2806,27.604,38.1668,-0.28788,6.8131,-0.18251
140,1,1,0.35115,sub-AA06WI11,Hamburg_Riesel,HRBL,-4.4584,-35.1216,-13.8335,-16.4912,92.7931,-0.61776,10.2644
142,1,1,0.29081,sub-AA06WI11,Hamburg_Riesel,HRBL,8.4912,-27.0224,-13.5153,79.5133,24.7052,-9.0528,1.5216
143,0.33,1,0.25132,sub-AA06WI11,Hamburg_Riesel,HRBL,30.9868,18.7118,-30.8527,-48.1462,14.5596,0.90724,-8.2834
144,1,1,0.25143,sub-AA06WI11,Hamburg_Riesel,HRBL,-115.2576,-30.9642,-157.8264,54.6826,62.446,6.1159,-0.53954
145,1,1,0.25559,sub-AA06WI11,Hamburg_Riesel,HRBL,-26.1438,-5.4765,42.7212,7.0895,-28.6588,2.6967,6.0522
146,0.66,1,0.25659,sub-AA06WI11,Hamburg_Riesel,HRBL,2.5772,-6.7496,-9.0524,-45.6535,83.1445,-1.0287,17.8581
147,1,1,0.37405,sub-AA06WI11,Hamburg_Riesel,HRBL,25.1068,23.2634,-17.7615,-2.0747,-23.9302,-3.6376,4.5619
148,0.66,1,0.38618,sub-AA06WI11,Hamburg_Riesel,HRBL,7.1878,36.781,52.0307,-3.1817,-11.2102,-3.2558,1.4879
149,1,1,0.25014,sub-AA06WI11,Hamburg_Riesel,HRBL,-38.162,-2.9739,-44.784,-45.2467,48.5596,0.21705,6.2273
153,0.66,1,0.24868,sub-AA06WI11,Hamburg_Riesel,HRBL,-22.8382,16.0014,95.6174,52.162,-102.4045,-3.6337,-1.7284
155,0.33,1,0.21057,sub-AA06WI11,Hamburg_Riesel,HRBL,-81.6002,11.3981,58.6418,12.188,-78.5065,3.9788,-2.3658
156,1,1,0.2867,sub-AA06WI11,Hamburg_Riesel,HRBL,49.1643,-15.0355,9.0634,-9.1941,63.0581,-1.0102,1.3475
158,0.33,1,0.33006,sub-AA06WI11,Hamburg_Riesel,HRBL,24.77,-1.35,95.7618,-13.7222,-32.7112,7.4556,2.4766
160,1,1,0.41364,sub-AA06WI11,Hamburg_Riesel,HRBL,-42.5329,14.7231,11.9132,-12.66,0.98301,0.71243,-1.6329
161,1,1,0.25911,sub-AA06WI11,Hamburg_Riesel,HRBL,5.5012,23.4758,68.9872,27.5106,-28.2878,-4.7412,-3.4839
162,1,1,0.21877,sub-AA06WI11,Hamburg_Riesel,HRBL,-11.1144,-40.1339,47.0154,-2.7762,131.1645,6.5009,3.3734
163,0.66,1,0.28025,sub-AA06WI11,Hamburg_Riesel,HRBL,-28.7998,-47.0813,-38.8054,-72.4362,57.7068,-3.5017,6.0368
165,1,1,0.32681,sub-AA06WI11,Hamburg_Riesel,HRBL,73.5561,5.4654,2.8075,17.5039,25.5657,-2.9446,0.74714
166,0.33,1,0.26691,sub-AA06WI11,Hamburg_Riesel,HRBL,-13.1927,15.5367,-71.4898,-62.7894,54.203,-6.0862,3.8043
167,1,1,0.26138,sub-AA06WI11,Hamburg_Riesel,HRBL,13.3542,49.8166,-20.5854,1.6234,-11.4233,-7.9897,11.2212
168,1,1,0.22469,sub-AA06WI11,Hamburg_Riesel,HRBL,-1.8181,64.1524,-56.435,-18.4141,25.9883,-4.9202,6.465
170,1,1,0.35818,sub-AA06WI11,Hamburg_Riesel,HRBL,-62.9633,-1.1376,45.5728,54.3297,59.4577,5.9254,-4.8389
171,1,1,0.36104,sub-AA06WI11,Hamburg_Riesel,HRBL,-62.6269,17.6894,63.2842,82.5857,-2.7863,-0.43156,-5.1469
172,1,1,0.33221,sub-AA06WI11,Hamburg_Riesel,HRBL,-39.1929,-0.69936,-51.3349,-7.6929,33.0672,-2.9116,3.8443
174,0.33,1,0.40541,sub-AA06WI11,Hamburg_Riesel,HRBL,3.0871,-18.8183,66.7203,41.5329,-64.629,7.575,13.1458
175,0,1,0.25092,sub-AA06WI11,Hamburg_Riesel,HRBL,5.1119,11.7992,36.6581,4.3757,-58.3717,10.2164,-7.104
177,0.33,1,0.2412,sub-AA06WI11,Hamburg_Riesel,HRBL,7.0308,33.6509,34.7698,-19.7611,92.1368,2.6976,-13.9974
178,1,1,0.25137,sub-AA06WI11,Hamburg_Riesel,HRBL,51.6317,-9.201,132.9875,69.8585,96.9714,-4.2218,-3.8956
179,1,1,0.2968,sub-AA06WI11,Hamburg_Riesel,HRBL,24.6272,-9.1562,1.321,46.2479,2.3391,-8.2403,-3.2953
181,0.66,1,0.3588,sub-AA06WI11,Hamburg_Riesel,HRBL,37.2676,-39.7149,67.7917,-9.8447,-56.3869,1.6761,4.979
182,1,1,0.18394,sub-AA06WI11,Hamburg_Riesel,HRBL,25.2607,-17.9594,-14.3913,-30.0174,18.759,3.7501,13.4124
183,0,1,0.12397,sub-AA06WI11,Hamburg_Riesel,HRBL,-29.5245,5.6572,86.574,70.3641,-9.2767,6.1234,-7.2374
185,0.66,1,0.27615,sub-AA06WI11,Hamburg_Riesel,HRBL,36.2433,16.4852,-22.7677,-12.2042,77.1166,3.5298,-0.11783
189,1,1,0.29764,sub-AA06WI11,Hamburg_Riesel,HRBL,27.5868,18.7281,-58.8702,82.6986,-47.4998,-0.82261,3.3351
190,1,1,0.37855,sub-AA06WI11,Hamburg_Riesel,HRBL,29.0187,-13.3247,37.9653,55.0022,-65.275,10.5993,-1.4685
192,0.66,1,0.61017,sub-AA06WI11,Hamburg_Riesel,HRBL,-46.4951,-16.8866,-38.626,24.7606,-8.3793,-0.77918,1.314
193,1,1,0.25281,sub-AA06WI11,Hamburg_Riesel,HRBL,-11.616,-1.5385,-28.1948,56.7877,-93.4655,9.7165,-3.0307
194,1,1,0.23948,sub-AA06WI11,Hamburg_Riesel,HRBL,-87.0657,-1.028,60.9669,-80.1206,3.8958,12.1094,0.15069
195,1,1,0.2405,sub-AA06WI11,Hamburg_Riesel,HRBL,-21.7556,48.7015,-2.9368,-59.8172,48.5641,-1.9515,-1.0668
196,1,1,0.2771,sub-AA06WI11,Hamburg_Riesel,HRBL,-34.6111,42.9175,79.2772,-13.5827,-9.2536,-6.4639,5.701
197,1,1,0.2624,sub-AA06WI11,Hamburg_Riesel,HRBL,13.569,33.6508,-24.8692,49.0344,-14.7657,1.6754,3.3301
199,1,1,0.26477,sub-AA06WI11,Hamburg_Riesel,HRBL,-61.486,3.5998,15.215,84.6649,10.1306,5.285,-9.946
200,1,1,0.26668,sub-AA06WI11,Hamburg_Riesel,HRBL,-52.6923,25.0923,16.641,-53.0073,42.2699,-0.15343,3.51
201,1,1,0.26361,sub-AA06WI11,Hamburg_Riesel,HRBL,-36.6218,-15.5366,57.4449,107.141,61.4039,-8.183,-1.3343
202,1,1,0.24929,sub-AA06WI11,Hamburg_Riesel,HRBL,2.2828,-42.0583,52.2525,57.5042,-35.8939,1.0443,-0.65623
203,1,1,0.26453,sub-AA06WI11,Hamburg_Riesel,HRBL,-1.8318,31.3775,23.1211,43.5119,42.2354,-1.0339,8.7299
204,1,1,0.23756,sub-AA06WI11,Hamburg_Riesel,HRBL,-49.0467,2.0929,47.2447,35.0837,-41.6042,-5.8921,5.2256
205,1,1,0.27786,sub-AA06WI11,Hamburg_Riesel,HRBL,-14.8837,-21.5948,12.1462,12.9824,23.4905,3.5048,1.6407
207,0.66,1,0.39043,sub-AA06WI11,Hamburg_Riesel,HRBL,-15.0416,9.9197,-62.1313,51.2308,8.4372,-0.87385,0.81894
209,0.66,1,0.23871,sub-AA06WI11,Hamburg_Riesel,HRBL,53.677,30.6642,-35.3527,-33.2113,-18.4382,-3.6732,-2.0907
210,0.33,1,0.2673,sub-AA06WI11,Hamburg_Riesel,HRBL,-24.1865,-9.3622,-0.01572,-50.6906,12.1369,-0.16345,-6.2622
212,1,1,0.28138,sub-AA06WI11,Hamburg_Riesel,HRBL,4.2135,-2.2742,-73.0587,-23.6126,-31.608,-1.124,-2.9379
214,0.33,1,0.33404,sub-AA06WI11,Hamburg_Riesel,HRBL,-53.1398,47.0747,30.4396,-99.6235,38.5545,-1.6198,-1.5085
215,1,1,0.25106,sub-AA06WI11,Hamburg_Riesel,HRBL,-1.3892,-63.7937,-65.3288,-75.6776,15.7053,1.3485,11.0934
216,1,1,0.23702,sub-AA06WI11,Hamburg_Riesel,HRBL,-8.3322,-60.279,13.8835,16.2194,6.5329,-4.404,2.2691
217,0.33,1,0.33584,sub-AA06WI11,Hamburg_Riesel,HRBL,-8.7812,-22.2878,47.294,66.7838,-3.3403,6.6938,0.51984
219,1,1,0.26681,sub-AA06WI11,Hamburg_Riesel,HRBL,34.7928,35.8068,71.8443,43.1571,21.3698,2.4682,-4.881
220,1,1,0.28645,sub-AA06WI11,Hamburg_Riesel,HRBL,-56.5521,-53.2347,-104.1173,27.7391,59.8985,-1.7246,3.9121
221,0.66,1,0.28628,sub-AA06WI11,Hamburg_Riesel,HRBL,-9.3551,-29.3818,35.1956,57.7116,-71.8159,-4.5832,-1.4421
222,1,1,0.2916,sub-AA06WI11,Hamburg_Riesel,HRBL,-11.2703,43.6819,52.5246,55.8372,-22.1406,2.0119,1.9807
223,1,1,0.25258,sub-AA06WI11,Hamburg_Riesel,HRBL,-30.047,14.5604,-46.0625,13.5988,-78.0333,-0.34081,-2.1178
225,0.66,1,0.27245,sub-AA06WI11,Hamburg_Riesel,HRBL,-42.0784,9.5338,39.5857,42.0129,-15.3876,3.7056,-4.6194
226,1,1,0.22776,sub-AA06WI11,Hamburg_Riesel,HRBL,-25.3198,-31.7726,10.7791,9.5327,-66.4094,11.4774,-8.2217
228,1,1,0.29828,sub-AA06WI11,Hamburg_Riesel,HRBL,-39.2887,10.5624,-26.8491,70.5343,-49.5403,-5.0995,4.8725
229,0.33,1,0.22616,sub-AA06WI11,Hamburg_Riesel,HRBL,41.3011,-33.8312,-29.2062,-37.1315,20.9337,1.4295,-4.6269
230,0.33,1,0.30978,sub-AA06WI11,Hamburg_Riesel,HRBL,-26.7451,-23.1882,-8.1775,-78.3949,5.1076,4.2063,11.7715
231,1,1,0.27713,sub-AA06WI11,Hamburg_Riesel,HRBL,-56.5438,-1.5842,-19.3509,-18.2347,2.1633,-1.1223,10.8066
232,1,1,0.25844,sub-AA06WI11,Hamburg_Riesel,HRBL,-27.2509,36.321,-29.6309,6.1854,99.2069,0.94274,-8.3659
234,0.33,1,0.31551,sub-AA06WI11,Hamburg_Riesel,HRBL,-34.938,5.6323,-42.3546,65.0023,79.7666,-0.94053,-0.96377
235,1,1,0.27275,sub-AA06WI11,Hamburg_Riesel,HRBL,31.8546,29.6211,-34.5649,-45.5243,76.834,-3.7907,3.1893
236,1,1,0.27404,sub-AA06WI11,Hamburg_Riesel,HRBL,-32.0733,-18.4889,73.7974,43.0565,-98.3638,-4.7717,-1.3301
237,0.33,1,0.25348,sub-AA06WI11,Hamburg_Riesel,HRBL,-50.0349,-1.5327,84.9651,-32.686,73.5291,3.5682,0.12541
239,0.33,1,0.26308,sub-AA06WI11,Hamburg_Riesel,HRBL,-59.4756,-4.5198,-61.3029,101.2373,59.3704,-1.3741,-1.6474
241,1,1,0.25505,sub-AA06WI11,Hamburg_Riesel,HRBL,-8.1541,-26.0551,74.7146,31.8592,3.2578,0.28461,0.15111
242,0.66,1,0.29742,sub-AA06WI11,Hamburg_Riesel,HRBL,-27.4079,-21.3554,30.0052,-95.2498,-10.8222,4.863,-1.6643
243,0,1,0.39264,sub-AA06WI11,Hamburg_Riesel,HRBL,5.4698,-92.1907,-36.0883,40.0565,-34.0516,-3.2833,7.567
244,1,1,0.5218,sub-AA06WI11,Hamburg_Riesel,HRBL,-4.49,-59.1399,-24.7761,-45.6323,15.0615,-4.7042,6.272
245,1,1,0.28395,sub-AA06WI11,Hamburg_Riesel,HRBL,-2.2131,-8.7918,66.0824,34.8162,51.7484,7.3979,-0.87418
246,1,1,0.31136,sub-AA06WI11,Hamburg_Riesel,HRBL,-116.4394,-13.5565,39.3192,17.2163,19.5242,4.8689,-5.7147
247,1,1,0.24656,sub-AA06WI11,Hamburg_Riesel,HRBL,-37.7197,98.9446,-6.3001,-44.6844,-34.7956,9.8716,-4.0115
