Instruction_Condition,MarkCondition,Type,Letter,CorrectResponse,Condition,RandomizeBlocks.thisRepN,RandomizeBlocks.thisTrialN,RandomizeBlocks.thisN,RandomizeBlocks.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Target_Mapping,Fixation_practice.started,Fixation_practice.stopped,Target_practice.started,Target_practice.stopped,Target_resp_practice.keys,Target_resp_practice.corr,Target_resp_practice.started,Target_resp_practice.stopped,ITI_resp_practice.started,ITI_resp_practice.stopped,ITI_Duration,ITI.started,ITI.stopped,square2.started,square2.stopped,Target_resp_practice.rt,Instr_Repe.started,Instr_Repe.stopped,Trigger_Target,TriggerResp,Fixation.started,Fixation.stopped,Target.started,Target.stopped,Target_resp.keys,Target_resp.corr,Target_resp.started,Target_resp.stopped,ITI_resp.started,ITI_resp.stopped,square1.started,square1.stopped,showReminder,ReminderErrors.started,ReminderErrors.stopped,ReminderErrorsResp.keys,ReminderErrorsResp.started,ReminderErrorsResp.stopped,break_block.started,break_block.stopped,break_block_resp.keys,Target_resp.rt,break_block_resp.rt,SelfReport.started,SelfReport.stopped,anxious.response,anxious.rt,peppy.response,peppy.rt,peeved.response,peeved.rt,happy.response,happy.rt,tired.response,tired.rt,relaxed.response,relaxed.rt,sad.response,sad.rt,calm.response,calm.rt,exhausted.response,exhausted.rt,irritated.response,irritated.rt,break_cond.started,break_cond.stopped,break_cond_resp.keys,break_cond_resp.rt,ReminderErrorsResp.rt,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,0,0,0,0,1,3,1,10,2,,,,,,74.42720389999977,74.92860709999968,74.91200519999984,75.0116607,None,1,74.91200519999984,None,75.0116607,None,0.9,75.61149099999966,None,75.61149099999966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,0,0,0,0,1,3,2,11,2,,,,,,76.5116208999998,77.01185669999995,76.99529910000001,77.09488559999954,None,1,76.99529910000001,None,77.09488559999954,None,0.9,77.69467009999971,None,77.69467009999971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,4,0,12,0,,,,,,78.5942844000001,79.09510959999989,79.07863019999968,79.17863260000013,4,1,79.07863019999968,None,79.17863260000013,None,1,79.52836539999953,None,79.52836539999953,None,0.4233266999999614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,0,0,0,0,1,4,1,13,2,,,,,,80.52759799999967,81.0284644000003,81.01183769999989,81.11180719999993,None,1,81.01183769999989,None,81.11180719999993,None,0.9,81.7113816000001,None,81.7113816000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,0,0,0,0,1,4,2,14,0,,,,,,82.61097939999945,83.11173669999971,83.09523819999959,83.19514929999968,4,1,83.09523819999959,None,83.19514929999968,None,1,83.46119060000001,None,83.46119060000001,None,0.3426701000007597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,2,0,0,0,1,,,,,0,0,0,2,,,,,,,,,,,,0.9,96.16403859999991,None,96.16403859999991,None,,84.4894334999999,None,202,0,94.97329449999961,95.47831070000029,95.46181389999947,95.56197489999977,None,1,95.46181389999947,None,95.56197489999977,None,95.46181389999947,None,False,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,0,1,1,1,,,,,,,,,,,,1,97.93138459999955,None,97.93138459999955,None,,,,201,211,97.08994489999986,97.59505220000028,97.57863279999947,97.67841429999953,4,1,97.57863279999947,None,97.67841429999953,None,97.57863279999947,None,False,None,None,None,None,None,None,None,None,0.33415809999951307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,2,0,0,0,1,,,,,0,2,2,2,,,,,,,,,,,,0.9,100.14631009999994,None,100.14631009999994,None,,,,202,0,98.94661410000026,99.4616401000003,99.44523519999984,99.54517709999982,None,1,99.44523519999984,None,99.54517709999982,None,99.44523519999984,None,False,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,1,0,3,1,,,,,,,,,,,,1,101.81523370000014,None,101.81523370000014,None,,,,201,211,101.04662180000014,101.56174480000027,101.54525920000015,101.64512730000024,4,1,101.54525920000015,None,101.64512730000024,None,101.54525920000015,None,False,None,None,None,None,None,None,None,None,0.23954909999974916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,1,1,4,0,,,,,,,,,,,,1,103.73142649999954,None,103.73142649999954,None,,,,201,211,102.84290839999994,103.34503529999984,103.3286121000001,103.42857449999974,4,1,103.3286121000001,None,103.42857449999974,None,103.3286121000001,None,False,None,None,None,None,None,None,None,None,0.370145699999739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,1,2,5,1,,,,,,,,,,,,1,105.53153839999959,None,105.53153839999959,None,,,,201,211,104.75976309999987,105.26173250000011,105.24523299999964,105.34521589999986,4,1,105.24523299999964,None,105.34521589999986,None,105.24523299999964,None,False,None,None,None,None,None,None,None,None,0.2616718999997829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,2,0,0,0,1,,,,,2,0,6,2,,,,,,,,,,,,0.9,107.74652349999997,None,107.74652349999997,None,,,,202,0,106.54581570000028,107.04514370000015,107.04514370000015,107.14511949999996,None,1,107.04514370000015,None,107.14511949999996,None,107.04514370000015,None,False,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,2,1,7,0,,,,,,,,,,,,1,109.41535449999992,None,109.41535449999992,None,,,,201,211,108.66063740000027,109.16055359999973,109.1438892999995,109.24388790000012,4,1,109.1438892999995,None,109.24388790000012,None,109.1438892999995,None,False,None,None,None,None,None,None,None,None,0.24189469999964786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,2,0,0,0,1,,,,,2,2,8,2,,,,,,,,,,,,0.9,111.62924029999976,None,111.62924029999976,None,,,,202,0,110.42921849999948,110.92851350000001,110.92851350000001,111.0284117000001,None,1,110.92851350000001,None,111.0284117000001,None,110.92851350000001,None,False,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,3,0,9,0,,,,,,,,,,,,1,113.28056209999977,None,113.28056209999977,None,,,,201,211,112.52949340000032,113.02843889999986,113.02843889999986,113.1285998000003,4,1,113.02843889999986,None,113.1285998000003,None,113.02843889999986,None,False,None,None,None,None,None,None,None,None,0.23343109999950684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,3,1,10,1,,,,,,,,,,,,1,115.14781270000003,None,115.14781270000003,None,,,,201,211,114.30975949999993,114.81136640000022,114.79491529999996,114.89523610000015,4,1,114.79491529999996,None,114.89523610000015,None,114.79491529999996,None,False,None,None,None,None,None,None,None,None,0.32886079999934736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,2,0,0,0,1,,,,,3,2,11,2,,,,,,,,,,,,0.9,117.36282130000018,None,117.36282130000018,None,,,,202,0,116.16337550000026,116.67841820000012,116.6616670000003,116.76175739999962,None,1,116.6616670000003,None,116.76175739999962,None,116.6616670000003,None,False,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,4,0,12,1,,,,,,,,,,,,1,119.03110319999996,None,119.03110319999996,None,,,,201,211,118.26249899999948,118.76156859999992,118.76156859999992,118.86179670000001,4,1,118.76156859999992,None,118.86179670000001,None,118.76156859999992,None,False,None,None,None,None,None,None,None,None,0.2502355999995416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,4,1,13,1,,,,,,,,,,,,1,120.98180169999978,None,120.98180169999978,None,,,,201,211,120.05964669999958,120.56183479999982,120.54522199999974,120.64521239999976,4,1,120.54522199999974,None,120.64521239999976,None,120.54522199999974,None,False,None,None,None,None,None,None,None,None,0.41066159999991214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,4,2,14,1,,,,,,,,,,,,1,122.79862479999974,None,122.79862479999974,None,,,,201,211,122.00966019999942,122.51168770000004,122.49531209999986,122.59521459999996,4,1,122.49531209999986,None,122.59521459999996,None,122.49531209999986,None,False,None,None,None,None,None,None,None,None,0.2734800999996878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,2,0,0,0,1,,,,,5,0,15,2,,,,,,,,,,,,0.9,125.01280959999985,None,125.01280959999985,None,,,,202,0,123.81254369999988,124.31187069999942,124.31187069999942,124.41182529999969,None,1,124.31187069999942,None,124.41182529999969,None,124.31187069999942,None,False,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,5,1,16,1,,,,,,,,,,,,1,126.81475909999972,None,126.81475909999972,None,,,,201,211,125.91272690000005,126.4118939,126.4118939,126.51179520000005,4,1,126.4118939,None,126.51179520000005,None,126.4118939,None,False,None,None,None,None,None,None,None,None,0.3808119000004808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,5,2,17,1,,,,,,,,,,,,1,128.68132890000015,None,128.68132890000015,None,,,,201,211,127.84301830000004,128.34451079999963,128.3283277999999,128.42786199999955,4,1,128.3283277999999,None,128.42786199999955,None,128.3283277999999,None,False,None,None,None,None,None,None,None,None,0.33444890000009764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,NoGo,nogo,None,2,0,0,0,1,,,,,6,0,18,2,,,,,,,,,,,,0.9,130.8958974999996,None,130.8958974999996,None,,,,202,0,129.69587349999983,130.19507819999944,130.19507819999944,130.29515840000022,None,1,130.19507819999944,None,130.29515840000022,None,130.19507819999944,None,False,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,6,1,19,0,,,,,,,,,,,,1,132.68156439999984,None,132.68156439999984,None,,,,201,211,131.79654169999958,132.31158940000023,132.29502969999976,132.39515089999986,4,1,132.29502969999976,None,132.39515089999986,None,132.29502969999976,None,False,None,None,None,None,None,None,None,None,0.3599441999995179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
DRÜCKEN SIE IM FOLGENDEN BITTE SO SCHNELL SIE KÖNNEN. BITTE ZEIGEN SIE IHRE MAXIMAL MÖGLICHE LEISTUNG!,200,Go,go,4,1,0,0,0,1,,,,,6,2,20,1,,,,,,,,,,,,1,134.54860860000008,None,134.54860860000008,None,,,,201,211,133.7095736000001,134.21154990000014,134.19523479999953,134.29524409999976,4,1,134.19523479999953,None,134.29524409999976,None,134.19523479999953,None,False,None,None,None,None,None,None,None,None,0.3315290000000459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH05ER25,1,0x5FB8,D:\CoScience\Logfiles\,2022_Jan_31_1041,GoNoGo,2020.1.3,60.08745127663911,
